Candidate Name,Office,Notes
Jeremiah Boehner,San Francisco County Board of Supervisors District 1,Entrepreneur
Connie Chan,San Francisco County Board of Supervisors District 1,Incumbent
Sherman D'Silva,San Francisco County Board of Supervisors District 1,Operations Manager
Jen Nossokoff,San Francisco County Board of Supervisors District 1,Physician Assistant
Marjan Philhour,San Francisco County Board of Supervisors District 1,Neighborhood Business Owner
Wendy Ha Chau,San Francisco County Board of Supervisors District 3,Civil Rights Attorney
Moe Jamil,San Francisco County Board of Supervisors District 3,Deputy City Attorney
Sharon Lai,San Francisco County Board of Supervisors District 3,Economic Nonprofit Director
Eduard Navarro,San Francisco County Board of Supervisors District 3,Urban Designer/Entrepreneur
Danny Sauter,San Francisco County Board of Supervisors District 3,Neighborhood Center Director
Matthew Susk,San Francisco County Board of Supervisors District 3,Small Business Owner
Scotty Jacobs,San Francisco County Board of Supervisors District 5,Private Sector Businessperson
Allen Jones,San Francisco County Board of Supervisors District 5,Draftsman
Autumn Hope Looijen,San Francisco County Board of Supervisors District 5,Community Organizer
Bilal Mahmood,San Francisco County Board of Supervisors District 5,Climate Nonprofit Director
Dean Preston,San Francisco County Board of Supervisors District 5,Incumbent
Matt Boschetto,San Francisco County Board of Supervisors District 7,Small Business Owner
Stephen Martin-Pinto,San Francisco County Board of Supervisors District 7,Firefighter/Military Reservist
Myrna Melgar,San Francisco County Board of Supervisors District 7,Incumbent
Edward Yee,San Francisco County Board of Supervisors District 7,n/a
Julian Bermudez,San Francisco County Board of Supervisors District 9,Businessman/Appliance Technician
H. Brown,San Francisco County Board of Supervisors District 9,Retired Teacher
Trevor Chandler,San Francisco County Board of Supervisors District 9,Public School Teacher
Jackie Fielder,San Francisco County Board of Supervisors District 9,Climate Nonprofit Director
Jaime Gutierrez,San Francisco County Board of Supervisors District 9,Transit Supervisor
Roberto Hernandez,San Francisco County Board of Supervisors District 9,Nonprofit Executive Director
Stephen Jon Torres,San Francisco County Board of Supervisors District 9,Hospitality Worker/Journalist
Chyanne Chen,San Francisco County Board of Supervisors District 11,Parent/Nonprofit Director
Adlah Chisti,San Francisco County Board of Supervisors District 11,Policy Analyst/Planner
Oscar Flores,San Francisco County Board of Supervisors District 11,Project Engineer
Ernest Jones,San Francisco County Board of Supervisors District 11,Community Organizer
Michael Lai,San Francisco County Board of Supervisors District 11,Early Education Director
Roger Marenco,San Francisco County Board of Supervisors District 11,Organizer/Transit Operator
Jose Morales,San Francisco County Board of Supervisors District 11,n/a