Image,Party Affiliation,Candidate Name,Office,Website
D,Democrat,Aaron Ortiz,Illinois House 1st District,
R,Republican,Laura Hruska,Illinois House 2nd District,https://www.hruskaforillinois.com/
D,Democrat,Lisa Hernandez,Illinois House 2nd District,https://ilga.gov/house/Rep.asp?GA=102&MemberID=2816
D,Democrat,Eva-Dina Delgado,Illinois House 3rd District,
D,Democrat,Lilian Jimenez,Illinois House 4th District,
R,Republican,Al Rasho,Illinois House 5th District,
D,Democrat,Kim DuBuclet,Illinois House 5th District,https://kim4staterep.com/
R,Republican,Sean Dwyer,Illinois House 6th District,https://www.dwyerforchicago.com/
D,Democrat,Sonya Harper,Illinois House 6th District,https://www.repsonyaharper.com/
D,Democrat,"Emanuel ""Chris"" Welch",Illinois House 7th District,
D,Democrat,LaShawn Ford,Illinois House 8th District,https://lashawnkford.com/
R,Republican,Leslie Collazo,Illinois House 8th District,https://www.collazoforillinois.com/
D,Democrat,Yolonda Morris,Illinois House 9th District,
D,Democrat,"Jawaharial ""Omar"" Williams",Illinois House 10th District,
D,Democrat,Ann Williams,Illinois House 11th District,
D,Democrat,Margaret Croke ,Illinois House 12th District,
D,Democrat,Hoan Huynh ,Illinois House 13th District,https://www.rephoanhuynh.com/
R,Republican,Terry Le,Illinois House 13th District,https://www.terryleforillinois.com/
D,Democrat,Kelly Cassidy ,Illinois House 14th District,
R,Republican,Mark Albers,Illinois House 15th District,https://albersfor15.com/
D,Democrat,Michael Kelly ,Illinois House 15th District,https://repkelly.com/
D,Democrat,Kevin John Olickal ,Illinois House 16th District,
R,Republican,Jim Geldermann,Illinois House 17th District,https://www.jim4hd17.com/
D,Democrat,Jennifer Gong-Gershowitz ,Illinois House 17th District,https://www.jenggforrep.com/
R,Republican,Charles Hutchinson,Illinois House 18th District,https://hutchinsonforil.com/
D,Democrat,Robyn Gabel ,Illinois House 18th District,https://robynforrep.com/
D,Democrat,Lindsey LaPointe ,Illinois House 19th District,https://www.lindseylapointe.com/
R,Republican,Brad Stephens ,Illinois House 20th District,
D,Democrat,Abdelnasser Rashid ,Illinois House 21st District,
D,Democrat,Angie Guerrero-Cuellar ,Illinois House 22nd District,
D,Democrat,Edgar Gonzalez Jr. ,Illinois House 23rd District,
R,Republican,Natalian Bolton,Illinois House 24th District,
D,Democrat,Theresa Mah ,Illinois House 24th District,https://www.theresamah.com/
D,Democrat,Curtis Tarver II ,Illinois House 25th District,
R,Republican,Audrey Barrett,Illinois House 26th District,https://www.barrett4rep.com/
D,Democrat,Kam Buckner ,Illinois House 26th District,https://www.kambuckner.com/
D,Democrat,Justin Slaughter ,Illinois House 27th District,
D,Democrat,Bob Rita ,Illinois House 28th District,
D,Democrat,Thaddeus Jones ,Illinois House 29th District,
R,Republican,Patricia Bonk,Illinois House 30th District,https://www.patriciabonkforstaterep.com/
D,Democrat,Will Davis ,Illinois House 30th District,https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3026
D,Democrat,Michael Crawford,Illinois House 31st District,https://www.drmikecrawford.com/
R,Republican,Carl Kunz ,Illinois House 31st District,https://www.facebook.com/profile.php?id=61559420313039
D,Democrat,Lisa Davis,Illinois House 32nd District,https://www.lisadavisforstaterepresentative.com/
D,Democrat,Marcus Evans Jr. ,Illinois House 33rd District,
R,Republican,Frederick Walls,Illinois House 34th District,https://www.wallsforillinois.com/
D,Democrat,Nick Smith ,Illinois House 34th District,https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3118
R,Republican,Herbert Hebein,Illinois House 35th District,https://www.herbforillinois.com/
D,Democrat,Mary Gill ,Illinois House 35th District,https://maryegill.com/
R,Republican,Christine Shanahan McGovern,Illinois House 36th District,https://www.shanahanmcgovern.com/
D,Democrat,Rick Ryan,Illinois House 36th District,https://www.rickryan36district.com/
R,Republican,Tim Ozinga ,Illinois House 37th District,
D,Democrat,Debbie Meyers-Martin ,Illinois House 38th District,
R,Republican,Anthony Curran,Illinois House 39th District,
D,Democrat,Will Guzzardi ,Illinois House 39th District,https://www.willguzzardi.com/
R,Republican,Patrycja Karlin,Illinois House 40th District,https://www.karlinforillinoishouse40.com/
D,Democrat,Jaime Andrade Jr.,Illinois House 40th District,https://www.andrade4staterep.com/
D,Democrat,Janet Yang Rohr ,Illinois House 41st District,
D,Democrat,Terra Costa Howard ,Illinois House 42nd District,
D,Democrat,Anna Moeller ,Illinois House 43rd District,https://annamoeller.org/
R,Republican,Donald Puckett ,Illinois House 43rd District,https://www.facebook.com/profile.php?id=61558820675743
D,Democrat,Fred Crespo ,Illinois House 44th District,
R,Republican,Dennis Reboletti,Illinois House 45th District,https://rebolettiforstaterep.com/
D,Democrat,"Martha Marti"" Deuter",Illinois House 45th District,https://www.martiforil45.com/
R,Republican,"Robert ""Rusty"" Stevens",Illinois House 46th District,https://www.stevensfordupage.com/
D,Democrat,Diane Blair-Sherlock ,Illinois House 46th District,https://blairsherlockfor46.com/
R,Republican,Amy Grant ,Illinois House 47th District,https://electamygrant.com/
D,Democrat,Jackie Williamson,Illinois House 47th District,https://www.jackieforil47.com/
R,Republican,Jennifer Sanalitro ,Illinois House 48th District,https://www.sanalitroforrep.com/
D,Democrat,Maria Vesey,Illinois House 48th District,https://mariaforil48.com/
R,Republican,Hannah Billingsley,Illinois House 49th District,https://www.votehannah.com/
D,Democrat,Maura Hirschauer ,Illinois House 49th District,https://www.sanalitroforrep.com/
D,Democrat,Barbara Hernandez ,Illinois House 50th District,https://www.staterepresentativebarbarahernandez.com/
R,Republican,Tosi Ufodike,Illinois House 51st District,https://tosiforrep.com/
D,Democrat,Nabeela Syed ,Illinois House 51st District,https://www.nabeelasyed.com/
R,Republican,Martin McLaughlin ,Illinois House 52nd District,https://martyforillinois.com/
D,Democrat,Maria Peterson,Illinois House 52nd District,https://mariafor52.com/
D,Democrat,Mark Walker ,Illinois House 53rd District,https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3262
R,Republican,Ronald Andermann,Illinois House 53rd District,https://www.andermannforillinois.com/
R,Republican,Michele Hunter,Illinois House 54th District,https://hunterforillinois.com/
D,Democrat,Mary Beth Canty ,Illinois House 54th District,https://marybethcanty.org/
D,Democrat,Martin Moylan ,Illinois House 55th District,
D,Democrat,Michelle Mussman ,Illinois House 56th District,
R,Republican,Daniel Behr,Illinois House 57th District,https://www.behrforillinois.com/
D,Democrat,Tracy Katz Muhl ,Illinois House 57th District,https://www.facebook.com/TracyForRep
R,Republican,Carl Lambrecht,Illinois House 58th District,
D,Democrat,Bob Morgan ,Illinois House 58th District,https://bobmorganforillinois.com/
R,Republican,Chris Henning,Illinois House 59th District,https://www.henningfor59.com/
D,Democrat,Daniel Didech ,Illinois House 59th District,https://www.facebook.com/DidechForRep/
D,Democrat,Rita Mayfield ,Illinois House 60th District,
R,Republican,James Creighton Mitchell Jr.,Illinois House 61st District,https://electjamesmitchell.com/
D,Democrat,Joyce Mason ,Illinois House 61st District,https://www.votejoycemason.com/
D,Democrat,Laura Faver Dias ,Illinois House 62nd District,
R,Republican,Steven Reick ,Illinois House 63rd District,https://repstevenreick.com/
D,Democrat,Mary Mahady,Illinois House 63rd District,https://marymahady.com/
R,Republican,Tom Weber ,Illinois House 64th District,
R,Republican,Dan Ugaste ,Illinois House 65th District,https://ugasteforillinois.com/
D,Democrat,Linda Robertson,Illinois House 65th District,https://votelinda65.com/
R,Republican,Laurie Parman,Illinois House 66th District,https://laurieparman.com/
D,Democrat,Suzanne Ness ,Illinois House 66th District,https://repsnessil66.com/
R,Republican,Glen Oland,Illinois House 67th District,http://electglen67.com/
D,Democrat,Maurice West II ,Illinois House 67th District,https://www.mauricewest.com/
D,Democrat,Dave Vella ,Illinois House 68th District,
R,Republican,Joe Sosnowski ,Illinois House 69th District,https://joesosnowski.com/
D,Democrat,Peter Janko,Illinois House 69th District,http://www.pete4illinois.com/
R,Republican,Jeff Keicher ,Illinois House 70th District,https://keicherforrep.com/
D,Democrat,Randi Olson,Illinois House 70th District,https://www.randi4illinois.com/
R,Republican,Dan Swanson ,Illinois House 71st District,
R,Republican,Charlie Helmick,Illinois House 72nd District,https://www.helmick4house.com/
D,Democrat,Gregg Johnson ,Illinois House 72nd District,https://www.gregg4illinois.com/
R,Republican,Ryan Spain ,Illinois House 73rd District,
R,Republican,Bradley Fritts ,Illinois House 74th District,https://fritts4rep.com/
D,Democrat,David Simpson,Illinois House 74th District,https://www.simpson4illinois.com/
R,Republican,Jed Davis ,Illinois House 75th District,https://jedforfreedom.com/
D,Democrat,Heidi Henry,Illinois House 75th District,https://www.heidihenryfor75.com/
R,Republican,Liz Bishop,Illinois House 76th District,https://electlizbishop.com/
D,Democrat,Murri Briel,Illinois House 76th District,https://www.murriforthe76th.com/
R,Republican,Ainthony Airdo,Illinois House 77th District,https://www.facebook.com/FriendsForAnthonyAirdo
D,Democrat,Norma Hernandez ,Illinois House 77th District,https://www.normaforstaterep.com/
D,Democrat,Camille Lilly ,Illinois House 78th District,
R,Republican,Jackie Haas ,Illinois House 79th District,https://votejackie.com/
D,Democrat,Billy Morgan,Illinois House 79th District,https://www.billymorgan.com/
R,Republican,Adam Beaty,Illinois House 80th District,https://www.beatyforillinois.com/
D,Democrat,Anthony DeLuca ,Illinois House 80th District,https://www.facebook.com/DeLucaForIllinois
R,Republican,Aaron Porter,Illinois House 81st District,https://aaronporter81.com/
D,Democrat,Anne Stava-Murray ,Illinois House 81st District,https://www.teamstavamurray.com/
R,Republican,Nicole La Ha ,Illinois House 82nd District,https://nicoleforillinois.org/
D,Democrat,Suzanne Akhras,Illinois House 82nd District,https://www.suzanneforil.com/
D,Democrat,Matt Hanson ,Illinois House 83rd District,
D,Democrat,Stephanie Kifowit ,Illinois House 84th District,
R,Republican,Chris Metcalfe,Illinois House 85th District,https://www.chrismetcalfeforillinoishousedistrict85.org/
D,Democrat,"Dagmara ""Dee"" Avelar",Illinois House 85th District,https://www.votedee85.com/
R,Republican,Jim Lanham,Illinois House 86th District,https://www.facebook.com/jimlanhamjolietcitycouncil/about
D,Democrat,"Lawrence ""Larry"" Walsh Jr. ",Illinois House 86th District,https://friendsforlarrywalshjr.com/
R,Republican,William Hauter ,Illinois House 87th District,https://www.hauterforrep.com/
R,Republican,Regan Deering,Illinois House 88th District,https://www.reganforillinois.com/
R,Republican,Tony McCombie ,Illinois House 89th District,
R,Republican,John Cabello ,Illinois House 90th District,
R,Republican,Desi Anderson,Illinois House 91st District,https://www.desiforillinois.com/
D,Democrat,Sharon Chung ,Illinois House 91st District,https://www.chungforillinois.com/
D,Democrat,Jehan Gordon-Booth ,Illinois House 92nd District,
R,Republican,Travis Robert Weaver ,Illinois House 93rd District,
R,Republican,Norine Hammond ,Illinois House 94th District,
R,Republican,Mike Coffey ,Illinois House 95th District,https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3246
D,Democrat,Kristen Chiaro,Illinois House 95th District,https://kristenchiaroforstaterep.com/
R,Republican,Lisa Smith,Illinois House 96th District,https://lisaforillinois.com/
D,Democrat,Sue Scherer ,Illinois House 96th District,https://sueschererforstaterep.com/
R,Republican,Gabby Shanahan,Illinois House 97th District,https://team-shanahan.com/
D,Democrat,Harry Benton ,Illinois House 97th District,https://www.harrybenton.com/about
D,Democrat,Natalie Manley ,Illinois House 98th District,
R,Republican,Kyle Moore,Illinois House 99th District,https://www.moore4illinois.com/
R,Republican,"Christopher ""C.D."" Davidsmeyer",Illinois House 100th District,
R,Republican,Chris Miller ,Illinois House 101st District,
R,Republican,Adam Niemerg ,Illinois House 102nd District,
D,Democrat,Carol Ammons ,Illinois House 103rd District,
R,Republican,Brandun Schweizer ,Illinois House 104th District,https://repschweizer.com/
D,Democrat,Jarrett Clem,Illinois House 104th District,https://voteclem.com/
R,Republican,Dennis Tipsword Jr. ,Illinois House 105th District,https://dennistipsword.com/
D,Democrat,Morgan Phillips,Illinois House 105th District,https://morgan105.com/
R,Republican,Jason Bunting ,Illinois House 106th District,
R,Republican,Brad Halbrook ,Illinois House 107th District,
R,Republican,Wayne Rosenthal ,Illinois House 108th District,
R,Republican,Charles Meier ,Illinois House 109th District,
R,Republican,Blaine Wilhour ,Illinois House 110th District,
R,Republican,Amy Elik ,Illinois House 111th District,https://www.amyelik.com/ 
D,Democrat,Nick Raftopoulos,Illinois House 111th District,https://www.nickforil-111.org/
R,Republican,Jay Keeven,Illinois House 112th District,https://jay4illinois.com/
D,Democrat,Katie Stuart ,Illinois House 112th District,https://www.stuartforilrep.com/
D,Democrat,Jay Hoffman ,Illinois House 113th District,
R,Republican,Kevin Schmidt ,Illinois House 114th District,https://schmidtforil.com/
D,Democrat,LaToya Greenwood,Illinois House 114th District,https://www.latoyagreenwood.com/
R,Republican,David Friess ,Illinois House 115th District,
R,Republican,Dave Severin ,Illinois House 116th District,
R,Republican,Patrick Windhorst ,Illinois House 117th District,
R,Republican,Paul Jacobs ,Illinois House 118th District,